"Physical Time: Physical Time (s)","Inlet1RH Monitor: Surface Average of RH","Inlet1T Monitor: Surface Average of Temperature (C)","RH1 Monitor: Sum of RH","RH10 Monitor: Sum of RH","RH2 Monitor: Sum of RH","RH3 Monitor: Sum of RH","RH4 Monitor: Sum of RH","RH5 Monitor: Sum of RH","RH6 Monitor: Sum of RH","RH7 Monitor: Sum of RH","RH8 Monitor: Sum of RH","RH9 Monitor: Sum of RH","T1 Monitor: Sum of Temperature (C)","T10 Monitor: Sum of Temperature (C)","T2 Monitor: Sum of Temperature (C)","T3 Monitor: Sum of Temperature (C)","T4 Monitor: Sum of Temperature (C)","T5 Monitor: Sum of Temperature (C)","T6 Monitor: Sum of Temperature (C)","T7 Monitor: Sum of Temperature (C)","T8 Monitor: Sum of Temperature (C)","T9 Monitor: Sum of Temperature (C)","velocity Monitor: Surface Average of Velocity: Magnitude (m/s)","wall Monitor: Surface Average of Temperature (C)"
3977400,51.313511730667,15,47.2379087288406,47.6218495538062,47.5168998064991,47.8072807346583,45.8245572611491,45.5167814466588,45.4620640692137,47.9585235637866,44.8196625859436,44.4037653053802,18.970837351952,18.3957657896078,18.8132967456316,18.7907729170209,19.3468060105568,19.6279646389852,19.5720929402631,18.6244535427327,21.0032259690626,20.4564173960413,0.2,24.4999999999999
3978000,51.3135117235186,15,46.2701526308404,46.7551260623628,46.4538434956979,46.7012426559231,44.727738845267,44.1101651989882,44.3754525880114,46.8482266708829,42.8046251860114,42.5966773614148,18.4131607628444,17.9392209875857,18.3391208896668,18.2989858408308,18.8821543123537,19.221736686819,19.0754895814957,18.1620524306365,20.5377518644033,20.1228609295384,0.2,24.4999999999999
3978600,51.3135117215825,15,45.3070984775387,45.9861544380268,45.5332847409629,45.7412158299289,43.8208471887592,42.9580844214933,43.3495692829361,45.8771286516105,41.132996104654,41.2068878568301,18.1456395235033,17.705805071895,18.0695345606345,18.0259686694975,18.6287036703964,19.0289122825879,18.8473057555186,17.9167462577096,20.3088483023874,19.9449579951507,0.2,24.4999999999999
3979200,51.3135126093158,15,45.7404912180418,46.8176399464942,46.6994336335891,47.105225876681,44.1562850183004,43.4970416416907,43.1750205537058,46.8033863765906,43.2153734187895,42.3198051094005,17.3760223781663,16.7830388427965,16.9618505451366,16.8203585122216,17.9078179372585,18.1945818940549,18.3366700541371,16.9307631754033,18.4238268796931,18.7264890813915,0.5,25.5
3979800,51.3135060053925,15,46.2560543170012,46.7847125854731,45.7399942834382,46.3504369401981,45.3136843054861,43.7443521099397,43.6877979722506,46.1337747226008,44.0966422330246,42.5332988528255,16.8329935981154,16.5954207051731,17.0279708258544,16.8160918654727,17.1532927629036,17.7265763229032,17.7503122094264,16.8901477979826,17.6573663735846,18.2641025218736,0.5,25.5
3980400,51.3135167755597,15,45.3411032818049,46.7417997624859,44.7979932920974,45.7964590783423,45.0605649431409,41.1986828486486,43.391220987499,45.902307097075,42.664168905276,41.1833833971945,17.0259105353523,16.5202689059648,17.2294544675111,16.8765668894548,17.1165474806465,18.5590761823377,17.7231511909197,16.8330121035779,18.0260261468898,18.5954092464722,0.5,25.5
3981000,51.313512216386,15,44.770346166002,46.2627335933144,44.1548967672622,45.2195800877498,44.8713103862237,40.2043412121762,43.1964799610649,45.3418711836872,42.4457400066747,40.7355636972072,17.1741586494838,16.6475983412018,17.4022289070021,17.0219963912967,17.1348498286238,18.8893284266104,17.7399871789461,16.9742358148906,18.0327316842172,18.6905353243405,0.5,25.5
3981600,51.3135147491947,15,43.7352176179621,45.98499826157,43.8610141209743,44.6939567721401,43.9285963204162,39.1177996127576,42.0564000513333,44.9425932824462,41.9044659340811,39.5687344283069,17.5236306838006,16.7265743978033,17.4810213433153,17.1815874477321,17.4517767279312,19.3042470157073,18.1442127503595,17.0917163947541,18.2074260645023,19.1244343473509,0.5,25.5
3982200,51.3135135114304,15,43.4872833903709,45.3269166745342,43.7500802087711,44.4004981512821,43.7743491659089,39.5336219631503,41.8719561297512,44.516514013495,42.0801027828959,38.9903056266423,17.603780375736,16.9470174770062,17.5091329986868,17.2748141226054,17.4987093022718,19.1234420989346,18.2046076530357,17.2328779370017,18.127623235675,19.3477529980568,0.5,25.5
3982800,50.4439638160108,23,45.8780735638972,46.8267717490473,46.0620259888432,46.7339298351203,45.9727367679717,43.058186061484,44.1757889210526,47.0085121882804,44.7120642253334,43.4197186078329,21.2332879540507,21.7252523423086,21.1043700572979,21.1451315184651,21.4869514020298,22.2178951407867,21.9259580494035,21.2761780798534,21.2519847874545,21.7664359329841,0.5,26.8999999999999
